Word	PartOfSpeech	Definition
		grass
		leaf
		air
		sand
		beach
		wave
		fire
		ice
		island
		hill
		heat
		nature
		glass
		metal
		plastic
		wood
		stone
		diamond
		clay
		dust
		gold
		copper
		silver
		material
		meter
		centimeter
		kilogram
		inch
		foot
		pound
		half
		circle
		square
		temperature
		date
		weight
		edge
		corner
		top
		bottom
		side
		front
		back
		outside
		inside
		up
		down
		left
		right
		straight
Ma		north
Am		south
Mu		east
Um		west
		direction
		Summer
		Spring
		Winter
		Fall
		season
		0
		1
		2
		3
		4
		5
		6
		7
		8
		9
		10
		11
		12
		13
		14
		15
		16
		17
		18
		19
		20
		21
		22
		30
		31
		32
		40
		41
		42
		50
		51
		52
		60
		61
		62
		70
		71
		72
		80
		81
		82
		90
		91
		92
		100
		101
		102
		110
		111
		1000
		1001
		10000
		100000
		million
		billion
		1st
		2nd
		3rd
		4th
		5th
		number
		January
		February
		March
		April
		May
		June
		July
		August
		September
		October
		November
		December
		Monday
		Tuesday
		Wednesday
		Thursday
		Friday
		Saturday
		Sunday
		year
		month
		week
		day
		hour
		minute
		second
		morning
		afternoon
		evening
		night
		time
		map
		dot
		consonant
		vowel
		light
		sound
		yes
		no
		piece
		pain
		injury
		hole
		image
		pattern
		noun
		verb
		adjective
		Which
		What
		Whose (personal possessive determiner)
Hum		Who
Hummi		Whom
Hummimi		Whose (personal)
Huh		What
Hun		Which
Huhmey		where (location)
		whither (signification / goal)
		whence (source)
		when (time)
		how (manner)
		why (reason)
		whether and whatsoever (choice between alternatives)
		work
		play
		walk
		run
		drive
		fly
		swim
		go
		stop
		follow
		think
		speak/say
		eat
		drink
		kill
		die
		smile
		laugh
		cry
		buy*
		pay*
		sell*
		shoot(a gun)
		learn
		jump
		smell
		hear* (a sound)
		listen*  (music)
		taste
		touch
		see (a bird)
		watch (TV)
		kiss
		burn
		melt
		dig
		explode
		sit
		stand
		love
		pass
		by
		cut
		fight
		lie down
		dance
		sleep
		wake up
		sing
		count
		marry
		pray
		win
		lose
		mix/stir
		bend
		wash
		cook
		open
		close
		write
		call
		turn
		build
		teach
		grow
		draw
		feed
		catch
		throw
		clean
		find
		fall
		push
		pull
		carry
		break
		wear
		hang
		shake
		sign
		beat
		lift
		long
		short (vs long)
		tall
		short (vs tall)
		wide
		narrow
		big/large
		small/little
		slow
		fast
		hot
		cold
		warm
		cool
		new
		old (new)
		young
		old (young)
		good
		bad
		wet
		dry
		sick
		healthy
		loud
		quiet
		happy
		sad
		beautiful
		ugly
		deaf
		blind
		nice
		mean
		rich
		poor
		thick
		thin
		expensive
		cheap
		flat
		curved
		male
		female
		tight
		loose
		high
		low
		soft
		hard
		deep
		shallow
		clean
		dirty
		strong
		weak
		dead
		alive
		heavy
		light (heavy)
		dark
		light (dark)
		nuclear
		famous
Laynon		superior
La		I
		you (singular)
		he
		she
		it
		we
On		you (plural
		as in "y'all")
		they
a		
aa		
ab		
ac		
ad		
ae		Space (outer)-
af		
ag		
ah		Create/Creative/Creation
ai		Me
aj		
ak		
al		
am		South
an		Female
ao		
ap		
aq		
ar		
as		Fire
at		
au		
av		
aw		Wind
ax		
ay		
az		
b		
ba		
bb		
bc		
bd		
be		Boy
bf		
bg		
bh		
bi		
bj		
bk		
bl		
bm		
bn		
bo		
bp		
bq		on
br		
bs		
bt		
bu		
bv		
bw		
bx		
by		
bz		
c	color-	
ca		
cb		
cc		
cd		
ce		
cf		
cg		
ch		
ci		
cj		
ck		
cl		
cm		
cn		
co		
cp		
cq		
cr		
cs		
ct		
cu		
cv		
cw		
cx		
cy		
cz		
d		
da		
db		
dc		
dd		
de		
df		
dg		
dh		
di		
dj		
dk		
dl		
dm		
dn		
do		
dp		
dq		
dr		
ds		
dt		
du		
dv		
dw		
dx		
dy		
dz	Between	
e		
ea		
eb	Male	
ec		
ed		
ee		
ef		
eg		
eh	Wing	
ei		
ej		
ek		
el		
em		
en	job / employed	
eo		
ep		
eq		
er		
es	Sky/Air	
et		
eu		
ev		
ew		
ex	from	
ey		
ez		
f		
fa		
fb		
fc		
fd		
fe		
ff		
fg		
fh		
fi		
fj		
fk		
fl		
fm		
fn		
fo		
fp		
fq		
fr		
fs		
ft		
fu		
fv		
fw		
fx		
fy		
fz		
g		
ga		
gb		
gc		
gd		
ge		
gf		
gg		
gh		
gi		
gj		
gk	weak	
gl		
gm		
gn		
go		
gp		
gq		
gr		
gs		
gt		
gu		
gv		
gw		
gx		
gy		
gz		
h		
ha	Fun- / -uncreative	
hb		
hc		
hd		
he	Building	
hf		
hg		
hh		
hi		
hj		
hk		
hl		
hm		
hn		
ho		
hp		
hq		
hr		
hs		
ht		
hu	Round	
hv		
hw		
hx		
hy		
hz		
i	I (self)	
ia		
ib		
ic		
id		
ie		
if		
ig		
ih		
ii		
ij		
ik		
il		
im		
in		
io		
ip		
iq		
ir	child	
is		
it		
iu	nurture	
iv		
iw		
ix		
iy		
iz		
j		
ja		
jb		
jc		
jd		
je		
jf		
jg		
jh		
ji		
jj		
jk		
jl		
jm		
jn		
jo	limited	
jp		
jq		
jr		
js		
jt		
ju	War	
jv		
jw		
jx		
jy		
jz		
k	Sufix - amplifies	
ka		
kb		
kc		
kd		
ke		
kf		
kg	Power	
kh		
ki	Few/Small	
kj		
kk		
kl		
km		
kn		
ko	Many/Large	
kp		
kq		
kr		
ks		
kt		
ku		
kv		
kw		
kx		
ky	Law	
kz		
l		
la		
lb		
lc		
ld		
le		
lf		
lg		
lh		
li		
lj		
lk		
ll		
lm		
ln	Tree	
lo		
lp		
lq		
lr		
ls		
lt		
lu	Book	
lv		
lw		
lx		
ly		
lz		
m		
ma	North	
mb		
mc		
md		
me		
mf		
mg		
mh		
mi	Person/Self ( prefix) | Ownership (Infix) | Tribe (suffix)	
mj		
mk		
ml		
mm		
mn		
mo	Cow	
mp		
mq		
mr		
ms		
mt		
mu	East	
mv		
mw		
mx		
my		
mz		
n		
na	Girl	
nb		
nc		
nd		
ne	Cat	
nf		
ng	#NAME?	
nh		
ni	Plant	
nj		
nk		
nl		
nm		
nn		
no	Them	
np		
nq		
nr		
ns		
nt		
nu		
nv		
nw		
nx		
ny	Above	
nz		
o		
oa		
ob		
oc		
od		
oe		
of		
og		
oh		
oi		
oj	Absolute	
ok		
ol		
om		
on	you (plural as in "y'all")	
oo	Protect/Protection	
op		
oq		
or		
os		
ot		
ou		
ov		
ow		
ox		
oy		
oz		
p		
pa		
pb		
pc		
pd		
pe	Sharp	
pf		
pg		
ph		
pi	Room	
pj		
pk		
pl		
pm		
pm		
po		
pp		
pq		
pr		
ps		
pt		
pu		
pv		
pw		
px		
py		
pz		
q		
qa		
qb	off	
qc		
qd		
qe		
qf		
qg		
qh		
qi		
qj		
qk		
ql		
qm		
qn		
qo		
qp		
qq		
qr		
qs		
qt		
qu		
qv		
qw		
qx		
qy		
qz		
r		
ra	Large	
rb		
rc		
rd		
re	Single/One - #1	
rf		
rg		
rh	#2 /	
ri		
rj		
rk		
rl		
rm		
rn	Body	
ro	#4 / 	
rp		
rq		
rr		
rs		
rt		
ru	#5 /	
rv		
rw		
rx		
ry	#3 /	
rz		
s		
sa	Water	
sb		
sc		
sd		
se	Ground/land	
sf		
sg		
sh		
si	Adult	
sj		
sk		
sl		
sm		
sn		
so		
sp		
sq		
sr		
ss		
st		
su		
sv		
sw		
sx		
sy		
sz		
t		
ta		
tb		
tc		
td		
te		
tf		
tg		
th		
ti	Travel	
tj		
tk		
tl		
tm		
tn		
to		
tp		
tq		
tr		
ts		
tt		
tu		
tv		
tw		
tx		
ty		
tz		
u		
ua		
ub		
uc		
ud		
ue		
uf		
ug		
uh	Angular/Square	
ui		
uj	Peace- / -calm	
uk		
ul		
um	West	
un		
uo		
up		
uq		
ur		
us		
ut		
uu		
uv		
uw		
ux		
uy		
uz		
v		
va		
vb		
vc		
vd		
ve		
vf		
vg		
vh		
vi	Strike/hit	
vj		
vk		
vl		
vm		
vn		
vo		
vp		
vq		
vr		
vs		
vt		
vu		
vv		
vw		
vx		
vy		
vz		
w		
wa	calm/still	
wb		
wc		
wd		
we		
wf		
wg		
wh		
wi		
wj		
wk		
wl		
wm		
wn		
wo		
wp		
wq		
wr		
ws		
wt		
wu		
wv		
ww		
wx		
wy		
wz		
x		
xa		
xb		
xc		
xd		
xe	of	
xf		
xg		
xh		
xi		
xj		
xk		
xl		
xm		
xn		
xo		
xp		
xq		
xr		
xs		
xt		
xu		
xv		
xw		
xx		
xy		
xz		
y	(Yay) and	
ya		
yb		
yc		
yd		
ye		
yf		
yg		
yh		
yi		
yj		
yk		
yl		
ym		
yn	Under/Below	
yo		
yp		
yq		
yr		
ys		
yt		
yu		
yv		
yw		
yx		
yy		
yz		
z	Prefix - Opposite (more than 2 letter)	
za		
zb		
zc		
zd	Outside Of	
ze		
zf		
zg		
zh		
zi		
zj		
zk		
zl		
zm		
zn		
zo		
zp		
zq		
zr		
zs		
zt		
zu		
zv		
zw		
zx		
zy		
zz		
